S12A2_HUMAN	P55011
TBCD7_HUMAN	Q9P0N9
HMOX2_HUMAN	P30519
AAKG1_HUMAN	P54619
PSA_HUMAN	P55786
AMPB_HUMAN	Q9H4A4
PXDN_HUMAN	Q92626
GMPR2_HUMAN	Q9P2T1
L1CAM_HUMAN	P32004
PICK1_HUMAN	Q9NRD5
CTBP1_HUMAN	Q13363
OTUB1_HUMAN	Q96FW1
FN3K_HUMAN	Q9H479
ENTP2_HUMAN	Q9Y5L3
THTM_HUMAN	P25325
FLNC_HUMAN	Q14315
DOCK5_HUMAN	Q9H7D0
FSD1_HUMAN	Q9BTV5
SRSF3_HUMAN	P84103
FADS2_HUMAN	O95864
VIGLN_HUMAN	Q00341
IGS11_HUMAN	Q5DX21
ITA6_HUMAN	P23229
DYN2_HUMAN	P50570
PPCS_HUMAN	Q9HAB8
PUR8_HUMAN	P30566
U5S1_HUMAN	Q15029
NRF1_HUMAN	Q16656
PLBL2_HUMAN	Q8NHP8
IDE_HUMAN	P14735
ACAD8_HUMAN	Q9UKU7
HNRPM_HUMAN	P52272
EIF3A_HUMAN	Q14152
GSTP1_HUMAN	P09211
TRAP1_HUMAN	Q12931
ANKL2_HUMAN	Q86XL3
PGES2_HUMAN	Q9H7Z7
ARMC6_HUMAN	Q6NXE6
OGT1_HUMAN	O15294
VPS11_HUMAN	Q9H270
COCA1_HUMAN	Q99715
ANT3_HUMAN	P01008
RRAGC_HUMAN	Q9HB90
NELL2_HUMAN	Q99435
NID1_HUMAN	P14543
RL34_HUMAN	P49207
VCIP1_HUMAN	Q96JH7
HGH1_HUMAN	Q9BTY7
CAP2_HUMAN	P40123
APOM_HUMAN	O95445
DHB11_HUMAN	Q8NBQ5
RRP5_HUMAN	Q14690
COFA1_HUMAN	P39059
RAB10_HUMAN	P61026
HS105_HUMAN	Q92598
VAMP7_HUMAN	P51809
CD14_HUMAN	P08571
MMSA_HUMAN	Q02252
GYS1_HUMAN	P13807
DI3L2_HUMAN	Q8IYB7
LANC1_HUMAN	O43813
SL9A1_HUMAN	P19634
GNS_HUMAN	P15586
SPB9_HUMAN	P50453
MMP2_HUMAN	P08253
DOHH_HUMAN	Q9BU89
GALK1_HUMAN	P51570
GFOD1_HUMAN	Q9NXC2
HSP74_HUMAN	P34932
UBXN1_HUMAN	Q04323
ESTD_HUMAN	P10768
CLMN_HUMAN	Q96JQ2
PUR4_HUMAN	O15067
GPC5B_HUMAN	Q9NZH0
LAMP1_HUMAN	P11279
NUMBL_HUMAN;NUMB_HUMAN	Q9Y6R0
SRSF7_HUMAN	Q16629
CLAP2_HUMAN	O75122
VP13A_HUMAN	Q96RL7
SPE39_HUMAN	Q9H9C1
ACADM_HUMAN	P11310
AT2A2_HUMAN	P16615
PEPD_HUMAN	P12955
ADDG_HUMAN	Q9UEY8
RTCA_HUMAN	O00442
RS2_HUMAN	P15880
C1QBP_HUMAN	Q07021
S12A9_HUMAN	Q9BXP2
BCR_HUMAN	P11274
VPS45_HUMAN	Q9NRW7
TBA1C_HUMAN;TBA4A_HUMAN;TBA8_HUMAN	Q9BQE3
TBA8_HUMAN	Q9NY65
TBA1C_HUMAN;TBA4A_HUMAN	Q9BQE3
TBA4A_HUMAN	P68366
ARAP1_HUMAN	Q96P48
XPP1_HUMAN	Q9NQW7
VWF_HUMAN	P04275
RGS7_HUMAN	P49802
PSME2_HUMAN	Q9UL46
GABR2_HUMAN	O75899
CRTAP_HUMAN	O75718
MCCB_HUMAN	Q9HCC0
AP3B2_HUMAN	Q13367
THEM6_HUMAN	Q8WUY1
ANS1B_HUMAN	Q7Z6G8
OAT_HUMAN	P04181
HS71A_HUMAN;HS71L_HUMAN	P0DMV8
CLCB_HUMAN	P09497
SNG3_HUMAN	O43761
CB072_HUMAN	A6NCS6
CAP1_HUMAN	Q01518
DDX41_HUMAN	Q9UJV9
OSBL1_HUMAN	Q9BXW6
CHAD_HUMAN	O15335
NUMBL_HUMAN	Q9Y6R0
MDHM_HUMAN	P40926
RLA0_HUMAN	P05388
RLA0L_HUMAN;RLA0_HUMAN	Q8NHW5
LAMA5_HUMAN	O15230
GELS_HUMAN;sp|CONTAMINANT_Q3SX14	P06396
GELS_HUMAN	P06396
SRGP2_HUMAN	O75044
BGAL_HUMAN	P16278
SC11C_HUMAN	Q9BY50
KCC2A_HUMAN;KCC2B_HUMAN;KCC2D_HUMAN;KCC2G_HUMAN	Q9UQM7
DIAP1_HUMAN	O60610
SCRIB_HUMAN	Q14160
OPLA_HUMAN	O14841
FHIT_HUMAN	P49789
RCN3_HUMAN	Q96D15
TTC7B_HUMAN	Q86TV6
SDHB_HUMAN	P21912
XRCC6_HUMAN	P12956
TF2B_HUMAN	Q00403
ERMP1_HUMAN	Q7Z2K6
TMX2_HUMAN	Q9Y320
CARM1_HUMAN	Q86X55
RPB4_HUMAN	O15514
CSKI2_HUMAN	Q8WXE0
OGFR_HUMAN	Q9NZT2
SQSTM_HUMAN	Q13501
KI21A_HUMAN	Q7Z4S6
STAM1_HUMAN	Q92783
S14L2_HUMAN	O76054
PALS2_HUMAN	Q9NZW5
CSN7B_HUMAN	Q9H9Q2
ECM29_HUMAN	Q5VYK3
CFAH_HUMAN	P08603
QOR_HUMAN	Q08257
VINC_HUMAN	P18206
FA83H_HUMAN	Q6ZRV2
ACTA_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN	P62736
ACTB_HUMAN;ACTC_HUMAN;ACTH_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN	P60709
ACTA_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN	P62736
ACY1_HUMAN	Q03154
MSH6_HUMAN	P52701
DJC11_HUMAN	Q9NVH1
UBP7_HUMAN	Q93009
XIAP_HUMAN	P98170
BRAF_HUMAN	P15056
BUD23_HUMAN	O43709
LGI1_HUMAN	O95970
IQEC1_HUMAN	Q6DN90
RCC2_HUMAN	Q9P258
EHD4_HUMAN	Q9H223
SNG1_HUMAN	O43759
SCOT1_HUMAN	P55809
FIBB_HUMAN	P02675
IF2G_HUMAN	P41091
RENBP_HUMAN	P51606
NEK9_HUMAN	Q8TD19
RAB32_HUMAN	Q13637
BIG3_HUMAN	Q5TH69
PPTC7_HUMAN	Q8NI37
PRR36_HUMAN	Q9H6K5
DMWD_HUMAN	Q09019
PSB1_HUMAN	P20618
SMRC2_HUMAN	Q8TAQ2
DUT_HUMAN	P33316
ADSV_HUMAN	Q9Y6U3
SCPDL_HUMAN	Q8NBX0
CYBC1_HUMAN	Q9BQA9
CCD91_HUMAN	Q7Z6B0
THIC_HUMAN	Q9BWD1
CTND2_HUMAN	Q9UQB3
RISC_HUMAN	Q9HB40
RAB37_HUMAN	Q96AX2
F16P1_HUMAN	P09467
G3PT_HUMAN	O14556
HIBCH_HUMAN	Q6NVY1
SON_HUMAN	P18583
COX6C_HUMAN	P09669
MCM4_HUMAN	P33991
MCM7_HUMAN	P33993
THIL_HUMAN	P24752
SAHH_HUMAN	P23526
WASP_HUMAN	P42768
GTF2I_HUMAN	P78347
SIM20_HUMAN	Q8N5G0
MCM2_HUMAN	P49736
RL10A_HUMAN	P62906
NID2_HUMAN	Q14112
ANM6_HUMAN	Q96LA8
ACADV_HUMAN	P49748
TRHDE_HUMAN	Q9UKU6
ASTN1_HUMAN	O14525
NHRF1_HUMAN	O14745
BICD2_HUMAN	Q8TD16
CPT2_HUMAN	P23786
CACO1_HUMAN	Q9P1Z2
VP33B_HUMAN	Q9H267
2A5D_HUMAN	Q14738
PDZ11_HUMAN	Q5EBL8
H2A2B_HUMAN	Q8IUE6
PIGT_HUMAN	Q969N2
MON2_HUMAN	Q7Z3U7
ATP5H_HUMAN	O75947
SNTB2_HUMAN	Q13425
GSTK1_HUMAN	Q9Y2Q3
MAVS_HUMAN	Q7Z434
PDPK1_HUMAN	O15530
RL7_HUMAN	P18124
TAOK1_HUMAN;TAOK3_HUMAN	Q7L7X3
RL22_HUMAN	P35268
STK10_HUMAN	O94804
ATPMK_HUMAN	Q96IX5
HNRPQ_HUMAN;HNRPR_HUMAN	O60506
NECT1_HUMAN	Q15223
PHAR1_HUMAN	Q9C0D0
NAT10_HUMAN	Q9H0A0
CO1A2_HUMAN	P08123
ATLA1_HUMAN	Q8WXF7
6PGD_HUMAN	P52209
CNN2_HUMAN	Q99439
SYAM_HUMAN	Q5JTZ9
SIR2_HUMAN	Q8IXJ6
CNN3_HUMAN	Q15417
CMC1_HUMAN;CMC2_HUMAN	O75746
CN37_HUMAN	P09543
AT2B2_HUMAN	Q01814
TPPP_HUMAN	O94811
CLIC4_HUMAN	Q9Y696
NAC2_HUMAN	Q9UPR5
C2C2L_HUMAN	O14523
NCBP3_HUMAN	Q53F19
NPM2_HUMAN	Q86SE8
TNS2_HUMAN	Q63HR2
RELCH_HUMAN	Q9P260
TENS1_HUMAN	Q9HBL0
MYO6_HUMAN	Q9UM54
QCR2_HUMAN	P22695
FMNL1_HUMAN	O95466
MINY1_HUMAN	Q8N5J2
NIT2_HUMAN	Q9NQR4
SERA_HUMAN	O43175
AKA10_HUMAN	O43572
TSP1_HUMAN	P07996
TENA_HUMAN	P24821
ACTN1_HUMAN;ACTN2_HUMAN;ACTN3_HUMAN	P12814
ACTN2_HUMAN;ACTN3_HUMAN	P35609
RGRF2_HUMAN	O14827
KCRU_HUMAN	P12532
KCRB_HUMAN	P12277
H2AW_HUMAN;H2AY_HUMAN	Q9P0M6
DHB8_HUMAN	Q92506
S49A3_HUMAN	Q6UXD7
TRPV2_HUMAN	Q9Y5S1
PDCD6_HUMAN	O75340
RL7A_HUMAN	P62424
PAF1_HUMAN	Q8N7H5
HEM6_HUMAN	P36551
CMBL_HUMAN	Q96DG6
LONM_HUMAN	P36776
SFXN3_HUMAN	Q9BWM7
LYAG_HUMAN	P10253
ELN_HUMAN	P15502
SC23B_HUMAN	Q15437
DSRAD_HUMAN	P55265
SYGP1_HUMAN	Q96PV0
AIP_HUMAN	O00170
NEST_HUMAN	P48681
SC16A_HUMAN	O15027
NU133_HUMAN	Q8WUM0
PLXA1_HUMAN	Q9UIW2
NAKD2_HUMAN	Q4G0N4
CSTF1_HUMAN	Q05048
WDR1_HUMAN	O75083
NAT8L_HUMAN	Q8N9F0
TCPQ_HUMAN	P50990
ARC1A_HUMAN	Q92747
MDC1_HUMAN	Q14676
CHIP_HUMAN	Q9UNE7
AP1M1_HUMAN	Q9BXS5
ZPR1_HUMAN	O75312
PA1B3_HUMAN	Q15102
TNPO1_HUMAN	Q92973
EHBP1_HUMAN	Q8NDI1
AMY1C_HUMAN	P0DTE8
ATPB_HUMAN	P06576
HDHD3_HUMAN	Q9BSH5
MITF_HUMAN	O75030
PCY2_HUMAN	Q99447
PURA2_HUMAN	P30520
ATRX_HUMAN	P46100
KBTBB_HUMAN	O94819
SPTB1_HUMAN	P11277
RL3_HUMAN	P39023
LAMA4_HUMAN	Q16363
CSPG4_HUMAN	Q6UVK1
RBM10_HUMAN	P98175
PKP2_HUMAN	Q99959
ANX11_HUMAN	P50995
NEB1_HUMAN	Q9ULJ8
CO4A2_HUMAN	P08572
FMNL2_HUMAN	Q96PY5
EI2BD_HUMAN	Q9UI10
CASP4_HUMAN	P49662
FAF2_HUMAN	Q96CS3
TAP2_HUMAN	Q03519
TAXB1_HUMAN	Q86VP1
PP2AA_HUMAN	P67775
MIC60_HUMAN	Q16891
PP1A_HUMAN;PP1B_HUMAN;PP1G_HUMAN	P62136
IVD_HUMAN	P26440
AJM1_HUMAN	C9J069
CSN2_HUMAN	P61201
S23IP_HUMAN	Q9Y6Y8
PLXA2_HUMAN	O75051
SMHD1_HUMAN	A6NHR9
RAD21_HUMAN	O60216
HOME3_HUMAN	Q9NSC5
HOME1_HUMAN;HOME2_HUMAN	Q86YM7
OMGP_HUMAN	P23515
TERA_HUMAN	P55072
CTNA2_HUMAN	P26232
DAAM2_HUMAN	Q86T65
PYR1_HUMAN	P27708
LIS1_HUMAN	P43034
EMAL3_HUMAN	Q32P44
BPNT1_HUMAN	O95861
SNAA_HUMAN;SNAB_HUMAN	P54920
ITPR1_HUMAN	Q14643
ATP9A_HUMAN	O75110
S4A4_HUMAN	Q9Y6R1
WDR54_HUMAN	Q9H977
PRS4_HUMAN	P62191
HNRPR_HUMAN	O43390
ANFY1_HUMAN	Q9P2R3
IF4G3_HUMAN	O43432
OAS3_HUMAN	Q9Y6K5
F10A5_HUMAN	Q8NFI4
USP9X_HUMAN	Q93008
RTN1_HUMAN	Q16799
SNX8_HUMAN	Q9Y5X2
PCID2_HUMAN	Q5JVF3
ADA10_HUMAN	O14672
PCKGM_HUMAN	Q16822
RBM14_HUMAN	Q96PK6
HNRPQ_HUMAN	O60506
SAFB1_HUMAN	Q15424
CO9_HUMAN	P02748
RRP44_HUMAN	Q9Y2L1
SMCA4_HUMAN	P51532
LARP7_HUMAN	Q4G0J3
TRM5_HUMAN	Q32P41
NAA15_HUMAN	Q9BXJ9
NMT1_HUMAN	P30419
SRP72_HUMAN	O76094
SGTA_HUMAN	O43765
RPAP3_HUMAN	Q9H6T3
XPO7_HUMAN	Q9UIA9
SMAD2_HUMAN	Q15796
GSHB_HUMAN	P48637
PP1R7_HUMAN	Q15435
GAS1_HUMAN	P54826
AP1S2_HUMAN	P56377
AP1S1_HUMAN	P61966
STX1B_HUMAN	P61266
NIT1_HUMAN	Q86X76
PGAM5_HUMAN	Q96HS1
COR1B_HUMAN	Q9BR76
COR1C_HUMAN	Q9ULV4
GBRL2_HUMAN	P60520
VLDLR_HUMAN	P98155
CATD_HUMAN	P07339
PPM1F_HUMAN	P49593
HIP1_HUMAN	O00291
TACC1_HUMAN	O75410
SEPT3_HUMAN	Q9UH03
PTCD3_HUMAN	Q96EY7
NUBPL_HUMAN	Q8TB37
PSA5_HUMAN	P28066
DJB12_HUMAN	Q9NXW2
NFS1_HUMAN	Q9Y697
IPO5_HUMAN	O00410
PFKAL_HUMAN;PFKAP_HUMAN	P17858
HPLN1_HUMAN	P10915
CNDP1_HUMAN	Q96KN2
UBP47_HUMAN	Q96K76
DP13A_HUMAN;DP13B_HUMAN	Q9UKG1
PSB4_HUMAN	P28070
WDR55_HUMAN	Q9H6Y2
PTPRZ_HUMAN	P23471
RAE1_HUMAN	P24386
HOOK3_HUMAN	Q86VS8
IF4G1_HUMAN	Q04637
CBPD_HUMAN	O75976
RS7_HUMAN	P62081
ABCA2_HUMAN	Q9BZC7
KAT3_HUMAN	Q6YP21
IF4A2_HUMAN	Q14240
FKB11_HUMAN	Q9NYL4
GCN1_HUMAN	Q92616
FDFT_HUMAN	P37268
CLCA_HUMAN	P09496
FRIH_HUMAN	P02794
MCM3_HUMAN	P25205
SYNE1_HUMAN	Q8NF91
ACSL1_HUMAN;ACSL6_HUMAN	P33121
FGF1_HUMAN	P05230
MD1L1_HUMAN	Q9Y6D9
AP3S1_HUMAN	Q92572
COPZ1_HUMAN	P61923
LKHA4_HUMAN	P09960
RASA1_HUMAN	P20936
AIMP1_HUMAN	Q12904
HECD4_HUMAN	Q9Y4D8
DMXL1_HUMAN;DMXL2_HUMAN	Q9Y485
STAT3_HUMAN	P40763
PP6R2_HUMAN	O75170
TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB5_HUMAN	Q13885
TBB3_HUMAN;TBB5_HUMAN	Q13509
ARL1_HUMAN	P40616
NB5R3_HUMAN	P00387
GPDM_HUMAN	P43304
NPS3B_HUMAN	Q9BS92
PLAP_HUMAN	Q9Y263
ANXA6_HUMAN	P08133
ZNT9_HUMAN	Q6PML9
SYQ_HUMAN	P47897
ABHDB_HUMAN	Q8NFV4
RUFY2_HUMAN	Q8WXA3
RHG01_HUMAN	Q07960
PSA6_HUMAN	P60900
FUBP2_HUMAN	Q92945
ASAP2_HUMAN	O43150
ELAV1_HUMAN;ELAV2_HUMAN	Q15717
UBP2L_HUMAN	Q14157
PLXB1_HUMAN	O43157
CPPED_HUMAN	Q9BRF8
CPLX1_HUMAN	O14810
RL6_HUMAN	Q02878
OSTP_HUMAN	P10451
ZO1_HUMAN	Q07157
CNOT4_HUMAN	O95628
DAAF5_HUMAN	Q86Y56
FAM3C_HUMAN	Q92520
TOLIP_HUMAN	Q9H0E2
AN13A_HUMAN	Q8IZ07
CBPQ_HUMAN	Q9Y646
PSMD3_HUMAN	O43242
TTC1_HUMAN	Q99614
CSN4_HUMAN	Q9BT78
FIBG_HUMAN	P02679
SNPH_HUMAN	O15079
RAB31_HUMAN	Q13636
PRP8_HUMAN	Q6P2Q9
H2AW_HUMAN	Q9P0M6
TPM1_HUMAN;TPM3_HUMAN	P09493
FCGBP_HUMAN	Q9Y6R7
2AAA_HUMAN	P30153
VMA5A_HUMAN	O00534
ZFR_HUMAN	Q96KR1
RBM26_HUMAN;RBM27_HUMAN	Q5T8P6
PGCA_HUMAN	P16112
YTHD3_HUMAN	Q7Z739
ERMIN_HUMAN	Q8TAM6
PLXB2_HUMAN	O15031
RL24_HUMAN	P83731
HNRPL_HUMAN	P14866
PCBP2_HUMAN	Q15366
PCBP1_HUMAN	Q15365
FBLN1_HUMAN	P23142
AKA12_HUMAN	Q02952
NMDZ1_HUMAN	Q05586
TSNAX_HUMAN	Q99598
PSA7_HUMAN	O14818
PSA7_HUMAN;PSMA8_HUMAN	O14818
PUS7_HUMAN	Q96PZ0
FHL1_HUMAN	Q13642
EFR3B_HUMAN	Q9Y2G0
AGRIN_HUMAN	O00468
KIF3B_HUMAN	O15066
CAF1B_HUMAN	Q13112
SRPRB_HUMAN	Q9Y5M8
ECHP_HUMAN	Q08426
MCA3_HUMAN	O43324
SODM_HUMAN	P04179
PDK1_HUMAN	Q15118
TBA4B_HUMAN	Q9H853
ABLM2_HUMAN	Q6H8Q1
ABLM1_HUMAN	O14639
PSD12_HUMAN	O00232
DNM3A_HUMAN	Q9Y6K1
EFGM_HUMAN	Q96RP9
VPP1_HUMAN	Q93050
ASAP1_HUMAN	Q9ULH1
ABRX2_HUMAN	Q15018
ACD10_HUMAN	Q6JQN1
DCLK2_HUMAN	Q8N568
ACON_HUMAN	Q99798
FERM2_HUMAN	Q96AC1
PRP16_HUMAN	Q92620
VATA_HUMAN	P38606
PI42A_HUMAN	P48426
UDB11_HUMAN	O75310
GSTO1_HUMAN	P78417
IGHG1_HUMAN	P01857
AVIL_HUMAN	O75366
PRDX4_HUMAN	Q13162
S10AB_HUMAN	P31949
HEXB_HUMAN	P07686
VTDB_HUMAN	P02774
SHPS1_HUMAN;SIRBL_HUMAN	P78324
ODO1_HUMAN	Q02218
DHE3_HUMAN	P00367
DHE4_HUMAN	P49448
NOVA2_HUMAN	Q9UNW9
MFN2_HUMAN	O95140
MYH9_HUMAN	P35579
GDS1_HUMAN	P52306
DEOC_HUMAN	Q9Y315
NENF_HUMAN	Q9UMX5
H11_HUMAN;H12_HUMAN;H13_HUMAN;H14_HUMAN	Q02539
ASCC3_HUMAN	Q8N3C0
ARPC5_HUMAN	O15511
FAH2A_HUMAN	Q96GK7
PTX3_HUMAN	P26022
FCSK_HUMAN	Q8N0W3
VIP2_HUMAN	O43314
THOP1_HUMAN	P52888
DC1I1_HUMAN	O14576
APOL2_HUMAN	Q9BQE5
RAP2A_HUMAN	P10114
RAP2B_HUMAN	P61225
NCKPL_HUMAN	P55160
RHEB_HUMAN	Q15382
WDR46_HUMAN	O15213
FACR1_HUMAN	Q8WVX9
STRN_HUMAN	O43815
STRN3_HUMAN	Q13033
TALDO_HUMAN	P37837
CSPG5_HUMAN	O95196
ATAD2_HUMAN	Q6PL18
PUF60_HUMAN	Q9UHX1
KLC4_HUMAN	Q9NSK0
DMXL2_HUMAN	Q8TDJ6
TTYH1_HUMAN	Q9H313
EXOC4_HUMAN	Q96A65
TXND5_HUMAN	Q8NBS9
RAP2C_HUMAN	Q9Y3L5
FIBA_HUMAN	P02671
TIAM1_HUMAN	Q13009
ATLA3_HUMAN	Q6DD88
DHE3_HUMAN;DHE4_HUMAN	P00367
ARP5L_HUMAN	Q9BPX5
GCC1_HUMAN	Q96CN9
EXOS4_HUMAN	Q9NPD3
EI2BG_HUMAN	Q9NR50
VKORL_HUMAN	Q8N0U8
SYCC_HUMAN	P49589
RBM26_HUMAN	Q5T8P6
DMD_HUMAN	P11532
ACSL6_HUMAN	Q9UKU0
COPG1_HUMAN	Q9Y678
T10B_HUMAN	Q9Y5J6
PRAF2_HUMAN	O60831
PELO_HUMAN	Q9BRX2
IKKB_HUMAN	O14920
ORN_HUMAN	Q9Y3B8
QSPP_HUMAN	Q5T6V5
SCN2A_HUMAN	Q99250
CYTC_HUMAN	P01034
COBA1_HUMAN	P12107
ACTN1_HUMAN;ACTN3_HUMAN;ACTN4_HUMAN	P12814
SGTB_HUMAN	Q96EQ0
PDIA6_HUMAN	Q15084
MINY3_HUMAN	Q9H8M7
XPO5_HUMAN	Q9HAV4
PPM1G_HUMAN	O15355
SHAN1_HUMAN	Q9Y566
GLYR1_HUMAN	Q49A26
CO8A_HUMAN	P07357
LRRF1_HUMAN	Q32MZ4
PABP1_HUMAN;PABP4_HUMAN	P11940
STIM1_HUMAN	Q13586
PIMT_HUMAN	P22061
S10A4_HUMAN	P26447
RET1_HUMAN	P09455
TDRD7_HUMAN	Q8NHU6
ACPH_HUMAN	P13798
AINX_HUMAN	Q16352
DHSO_HUMAN	Q00796
AK1A1_HUMAN	P14550
RBMX_HUMAN	P38159
CP131_HUMAN	Q9UPN4
EXOC7_HUMAN	Q9UPT5
LRCH1_HUMAN	Q9Y2L9
PLPL6_HUMAN	Q8IY17
MYH11_HUMAN	P35749
IFIT3_HUMAN	O14879
HOOK1_HUMAN	Q9UJC3
ESAM_HUMAN	Q96AP7
AGRL1_HUMAN	O94910
LAP2A_HUMAN	P42166
MMRN2_HUMAN	Q9H8L6
CARL1_HUMAN	Q5VZK9
PUM1_HUMAN	Q14671
GOGB1_HUMAN	Q14789
ITB4_HUMAN	P16144
ATG9A_HUMAN	Q7Z3C6
TCPH_HUMAN	Q99832
ADRO_HUMAN	P22570
EP15R_HUMAN	Q9UBC2
FNTA_HUMAN	P49354
MYH10_HUMAN;MYH11_HUMAN	P35580
NC2A_HUMAN	Q14919
HIP1R_HUMAN	O75146
SERC_HUMAN	Q9Y617
MAP1S_HUMAN	Q66K74
PEX5_HUMAN	P50542
DDX46_HUMAN	Q7L014
NUCL_HUMAN	P19338
TACO1_HUMAN	Q9BSH4
NDUA2_HUMAN	O43678
CNKR2_HUMAN	Q8WXI2
SGT1_HUMAN	Q9Y2Z0
RBM39_HUMAN	Q14498
PBIP1_HUMAN	Q96AQ6
RUVB1_HUMAN	Q9Y265
RPTOR_HUMAN	Q8N122
RMXL1_HUMAN	Q96E39
ATG3_HUMAN	Q9NT62
CIA2A_HUMAN	Q9H5X1
SCG2_HUMAN	P13521
DOCK3_HUMAN	Q8IZD9
RNZ2_HUMAN	Q9BQ52
CACB1_HUMAN;CACB3_HUMAN;CACB4_HUMAN	Q02641
CRK_HUMAN	P46108
ABI2_HUMAN	Q9NYB9
DLG1_HUMAN;DLG4_HUMAN	Q12959
RENT2_HUMAN	Q9HAU5
CD166_HUMAN	Q13740
M4K4_HUMAN;MINK1_HUMAN;TNIK_HUMAN	O95819
ITAV_HUMAN	P06756
CDK2_HUMAN	P24941
FRIL_HUMAN	P02792
UN45A_HUMAN	Q9H3U1
ARH40_HUMAN	Q8TER5
MCATL_HUMAN	Q8N8R3
PPM1A_HUMAN	P35813
OTUD3_HUMAN	Q5T2D3
C2CD2_HUMAN	Q9Y426
PRP4_HUMAN	O43172
CISY_HUMAN	O75390
MRC1_HUMAN	P22897
PGH1_HUMAN	P23219
A2GL_HUMAN	P02750
NEUS_HUMAN	Q99574
GPD1L_HUMAN	Q8N335
HCDH_HUMAN	Q16836
ATPF1_HUMAN	Q5TC12
NPC1_HUMAN	O15118
DEN4B_HUMAN	O75064
TIM44_HUMAN	O43615
TASOR_HUMAN	Q9UK61
SYK_HUMAN	Q15046
GNL1_HUMAN	P36915
MYL6B_HUMAN;MYL6_HUMAN	P14649
MYL6_HUMAN	P60660
MYL4_HUMAN	P12829
AP180_HUMAN	O60641
AIFM1_HUMAN	O95831
STX18_HUMAN	Q9P2W9
MX1_HUMAN;MX2_HUMAN	P20591
FABP7_HUMAN	O15540
MYP2_HUMAN	P02689
KALRN_HUMAN	O60229
OPA1_HUMAN	O60313
CYTT_HUMAN	P09228
TBCD_HUMAN	Q9BTW9
CO2_HUMAN	P06681
PSMD5_HUMAN	Q16401
UVRAG_HUMAN	Q9P2Y5
MAK16_HUMAN	Q9BXY0
SUCB1_HUMAN	Q9P2R7
DYST_HUMAN;MACF1_HUMAN	Q03001
STRN4_HUMAN	Q9NRL3
CLVS1_HUMAN	Q8IUQ0
CAR16_HUMAN;CASP1_HUMAN	Q5EG05
CA043_HUMAN	Q9BWL3
PLCL2_HUMAN	Q9UPR0
PREP_HUMAN	Q5JRX3
SYWC_HUMAN	P23381
MGLL_HUMAN	Q99685
NDK3_HUMAN	Q13232
LRRC7_HUMAN	Q96NW7
CSN1_HUMAN	Q13098
TPC_HUMAN	Q9HC21
DDX1_HUMAN	Q92499
NQO1_HUMAN	P15559
SRS11_HUMAN	Q05519
RPAB1_HUMAN	P19388
KTN1_HUMAN	Q86UP2
VP13D_HUMAN	Q5THJ4
MY18A_HUMAN	Q92614
WASC5_HUMAN	Q12768
GLTP_HUMAN	Q9NZD2
C4BPB_HUMAN	P20851
TMM33_HUMAN	P57088
SYSM_HUMAN	Q9NP81
CAC1C_HUMAN	Q13936
GCSH_HUMAN	P23434
MVP_HUMAN	Q14764
LUC7L_HUMAN	Q9NQ29
LTBP2_HUMAN	Q14767
RHG18_HUMAN	Q8N392
ITPA_HUMAN	Q9BY32
EF2_HUMAN	P13639
INP4B_HUMAN	O15327
GLO2_HUMAN	Q16775
HS90B_HUMAN	P08238
HS90A_HUMAN	P07900
GLOD4_HUMAN	Q9HC38
KCMB4_HUMAN	Q86W47
RIC8A_HUMAN	Q9NPQ8
TPRGL_HUMAN	Q5T0D9
STAT1_HUMAN	P42224
GHDC_HUMAN	Q8N2G8
MITOK_HUMAN	Q96ER9
WDR48_HUMAN	Q8TAF3
RM46_HUMAN	Q9H2W6
EXD2_HUMAN	Q9NVH0
S39AE_HUMAN	Q15043
GCP3_HUMAN	Q96CW5
PLD3_HUMAN	Q8IV08
C4BPA_HUMAN	P04003
DRS7B_HUMAN	Q6IAN0
AGAL_HUMAN	P06280
KIF23_HUMAN	Q02241
RO60_HUMAN	P10155
TXLNG_HUMAN	Q9NUQ3
DYN1_HUMAN;DYN3_HUMAN	Q05193
HMCN2_HUMAN	Q8NDA2
TCRG1_HUMAN	O14776
DHX30_HUMAN	Q7L2E3
EPDR1_HUMAN	Q9UM22
GABT_HUMAN	P80404
ANXA3_HUMAN	P12429
SYNJ1_HUMAN	O43426
TGM2_HUMAN	P21980
CEBPZ_HUMAN	Q03701
PDE1B_HUMAN	Q01064
UB2R2_HUMAN	Q712K3
DCE1_HUMAN	Q99259
NIF3L_HUMAN	Q9GZT8
SYNC_HUMAN	O43776
ETFD_HUMAN	Q16134
FSD1L_HUMAN	Q9BXM9
LTOR1_HUMAN	Q6IAA8
SMC2_HUMAN	O95347
CO6_HUMAN	P13671
AAKG2_HUMAN	Q9UGJ0
SUGP2_HUMAN	Q8IX01
VPS39_HUMAN	Q96JC1
GUAA_HUMAN	P49915
HPRT_HUMAN	P00492
S10A8_HUMAN	P05109
PRDX5_HUMAN	P30044
